JerseyNo,Date,Opp,TRB,AST,STL,PTS
16,2018-02-09,MIL,4,2,1,9
16,2018-02-13,TOR,7,0,0,16
16,2018-02-14,PHI,4,5,1,22
16,2018-02-23,NOP,4,4,2,12
16,2018-02-24,MEM,5,2,2,8
16,2018-02-27,PHI,2,0,0,0
16,2018-03-01,LAL,3,5,0,6
16,2018-03-03,DET,2,1,3,14
16,2018-03-05,PHO,2,4,0,6
16,2018-03-06,WAS,3,1,1,6
16,2018-03-08,PHI,2,6,3,4
16,2018-03-10,WAS,2,5,1,20
16,2018-03-12,POR,6,4,0,8
16,2018-03-14,SAC,10,7,2,18
16,2018-03-16,LAL,7,5,3,12
16,2018-03-19,DEN,11,6,1,31
16,2018-03-21,NYK,5,6,1,3
16,2018-03-23,OKC,4,2,0,23
16,2018-03-25,IND,9,3,0,15
16,2018-03-27,CLE,9,5,2,15
16,2018-03-29,CHI,8,2,0,2
16,2018-03-31,BRK,6,5,1,18
16,2018-04-03,ATL,3,6,3,10
16,2018-04-04,ATL,0,0,0,0
16,2018-04-06,NYK,1,4,0,12
16,2018-04-09,OKC,5,0,0,11
16,2018-04-11,TOR,6,4,1,11
8,2017-10-18,ORL,2,1,0,7
8,2017-10-21,IND,3,2,0,9
8,2017-10-23,ATL,4,0,2,6
8,2017-10-25,SAS,0,3,1,23
8,2017-10-28,BOS,2,2,1,2
8,2017-10-30,MIN,3,2,0,12
8,2017-11-01,CHI,3,2,1,19
8,2017-11-03,DEN,1,2,0,2
8,2017-11-05,LAC,2,3,3,19
8,2017-11-06,GSW,4,1,0,3
8,2017-11-08,PHO,0,0,0,0
8,2017-11-10,UTA,4,1,0,11
8,2017-11-12,DET,4,5,0,6
8,2017-11-15,WAS,2,2,0,15
8,2017-11-17,WAS,5,3,0,7
8,2017-11-19,IND,6,4,0,4
8,2017-11-22,BOS,7,1,1,16
8,2017-11-24,MIN,3,2,0,3
8,2017-11-26,CHI,5,2,2,10
8,2017-11-28,CLE,3,1,0,0
8,2017-11-29,NYK,1,3,2,13
8,2017-12-01,CHO,2,1,0,12
8,2017-12-03,GSW,2,2,1,13
8,2017-12-06,SAS,3,2,1,25
8,2017-12-09,BRK,4,1,0,20
8,2017-12-11,MEM,5,1,0,14
8,2017-12-13,POR,0,0,0,0
8,2017-12-15,CHO,2,1,0,16
8,2017-12-16,LAC,6,3,1,0
8,2017-12-18,ATL,3,2,2,19
8,2017-12-20,BOS,11,5,3,6
8,2017-12-22,DAL,7,4,0,19
8,2017-12-23,NOP,3,1,2,20
8,2017-12-26,ORL,4,2,1,17
8,2017-12-29,BRK,5,1,0,11
8,2017-12-30,ORL,4,3,1,31
8,2018-01-03,DET,3,3,0,2
8,2018-01-05,NYK,2,4,4,16
8,2018-01-07,UTA,2,2,0,16
8,2018-01-09,TOR,0,0,0,0
8,2018-01-10,IND,5,2,1,15
8,2018-01-14,MIL,6,1,1,14
8,2018-01-15,CHI,1,3,0,10
8,2018-01-17,MIL,0,0,0,0
8,2018-01-19,BRK,0,0,0,0
8,2018-01-20,CHO,0,0,0,0
8,2018-01-22,HOU,0,0,0,0
8,2018-01-25,SAC,0,0,0,0
8,2018-01-27,CHO,3,2,1,8
8,2018-01-29,DAL,3,3,3,8
8,2018-01-31,CLE,6,1,2,11
8,2018-02-02,PHI,2,4,0,9
8,2018-02-03,DET,1,2,2,3
8,2018-02-05,ORL,3,4,0,12
8,2018-02-07,HOU,6,3,1,3
8,2018-02-09,MIL,6,3,2,19
8,2018-02-13,TOR,4,2,1,7
8,2018-02-14,PHI,1,6,2,12
8,2018-02-23,NOP,2,3,0,15
8,2018-02-24,MEM,2,1,2,23
8,2018-02-27,PHI,2,1,2,16
8,2018-03-01,LAL,0,0,0,0
8,2018-03-03,DET,0,0,0,0
8,2018-03-05,PHO,2,2,0,5
8,2018-03-06,WAS,3,4,3,21
8,2018-03-08,PHI,4,1,0,12
8,2018-03-10,WAS,2,3,0,13
8,2018-03-12,POR,3,2,0,17
8,2018-03-14,SAC,5,2,1,14
8,2018-03-16,LAL,1,4,2,6
8,2018-03-19,DEN,4,3,0,8
8,2018-03-21,NYK,2,2,0,22
8,2018-03-23,OKC,6,1,0,8
8,2018-03-25,IND,3,4,0,19
